ParkID;Name;SpecialFeature
11;Cardero Park;Seawall
21;Harbour Green Park;Seawall
47;Sutcliffe Park;Seawall
180;Oppenheimer Park;Horseshoe Pitch
228;Oak Meadows Park;Perimeter Walking Path (730m)
6;Quilchena Park;Hellenic Garden
14;Coopers' Park;Seawall
16;David Lam Park;Seawall
43;Charleson Park;Seawall
147;Tisdall Park;Senior's Wellness Circuit
201;English Bay Beach Park;Seawall
207;Sunset Beach Park;Seawall
18;Devonian Harbour Park;Seawall
24;Marina Square;Seawall
120;Vanier Park;Seawall
180;Oppenheimer Park;Sport Court
206;Stanley Park;Wedding Ceremony Site (x3)
220;Spanish Banks Beach Park;Wedding Ceremony Site
6;Quilchena Park;Perimeter Walking Path
15;Creekside Park;Seawall
110;Hadden Park;Seawall
112;Kitsilano Beach Park;Seawall
192;Fraserview Park;Exercise Stations
192;Fraserview Park;Picnic Benches
206;Stanley Park;Seawall
225;George Wainborn Park;Seawall
